Topic,Learners,Courses,Release Year,YouTube Views,,Course Title,Learners,,Video Title,Views,Comments,Total LinkedIn Courses,116,,Artist,Views,Videos,,Talent,Views,,Channel,Views,Channel,Views
,,,,,,,,,,,,,,,Jim James,"3,300",1,,,,,,,,
,,,,,,,,,,,,,,,Jonas Alaska,"3,200",1,,,,,,,,
,,,,,,,,,,,,,,,"Judah Friedlander, Kaka, Tim Howard, Nicolas Lodeiro, Richie Marquez, Justin Morrow, Bradley Wright Phillips, Andrew Wenger, Kei Kamara, Jack Harrison, Miguel Almiron, Giovani dos Santos, Diego Valeri, Dom Dwyer, Luciano Acosta, Tim Parker, Michael de Leeuw, Matteo Mancosu","3,541",1,,,,,,,,
,,,,,,,,,,,,,,,Jukebox The Ghost,"52,606",2,,,,,,,,
,,,,,,,,,,,,,,,Kaiser Chiefs,"125,872",2,,,,,,,,
,,,,,,,,,,,,,,,Karl-Anthony Towns,"67,989",1,,,,,,,,
,,,,,,,,,,,,,,,Kevin Garrett,"430,306",2,,,,,,,,
,,,,,,,,,,,,,,,Kris Orlowski,"1,400",1,,,,,,,,
,,,,,,,,,,,,,,,LP,"189,106",2,,,,,,,,
,,,,,,,,,,,,,,,Lady Lamb,"3,700",1,,,,,,,,
,,,,,,,,,,,,,,,Lissie,"4,472",1,,,,,,,,
,,,,,,,,,,,,,,,Lucius,"70,301",4,,,,,,,,
,,,,,,,,,,,,,,,Magic Man,"313,265",4,,,,,,,,
,,,,,,,,,,,,,,,Marco Benevento,"1,100",1,,,,,,,,
,,,,,,,,,,,,,,,Marian Hill,"1,192,945",2,,,,,,,,
,,,,,,,,,,,,,,,Matt Sucich,"5,396",2,,,,,,,,
,,,,,,,,,,,,,,,Mayer Hawthorne,"744,056",1,,,,,,,,
,,,,,,,,,,,,,,,Mechanical River,"23,551",2,,,,,,,,
,,,,,,,,,,,,,,,Metronomy,"110,610",2,,,,,,,,
,,,,,,,,,,,,,,,Mikaela Davis,"24,930",1,,,,,,,,
,,,,,,,,,,,,,,,Mike Mains & The Branches,"11,136",1,,,,,,,,
,,,,,,,,,,,,,,,Milo Greene,"12,562",2,,,,,,,,
,,,,,,,,,,,,,,,Miniature Tigers,"69,009",1,,,,,,,,
,,,,,,,,,,,,,,,Never Shout Never,"1,344,552",1,,,,,,,,
,,,,,,,,,,,,,,,Night Beats,"4,000",1,,,,,,,,
,,,,,,,,,,,,,,,ON AN ON,"25,741",3,,,,,,,,
,,,,,,,,,,,,,,,Oh Land,"48,702",3,,,,,,,,
,,,,,,,,,,,,,,,Other Lives,"73,834",1,,,,,,,,
,,,,,,,,,,,,,,,PHOX,"84,228",2,,,,,,,,
,,,,,,,,,,,,,,,PROM,"14,502",2,,,,,,,,
,,,,,,,,,,,,,,,Pell,"5,281",2,,,,,,,,
,,,,,,,,,,,,,,,Pentatonix,"1,887,357",1,,,,,,,,
,,,,,,,,,,,,,,,Pity Sex,"48,878",3,,,,,,,,
,,,,,,,,,,,,,,,Pompeya,"4,590",2,,,,,,,,
,,,,,,,,,,,,,,,Prince Rama,"12,363",1,,,,,,,,
,,,,,,,,,,,,,,,Ra Ra Riot,"57,971",4,,,,,,,,
,,,,,,,,,,,,,,,Rathborne,"2,347",1,,,,,,,,
,,,,,,,,,,,,,,,Rose Windows,"28,983",1,,,,,,,,
,,,,,,,,,,,,,,,Rubblebucket,"223,059",2,,,,,,,,
,,,,,,,,,,,,,,,SACCO,"3,936",2,,,,,,,,
,,,,,,,,,,,,,,,SKATERS,"33,363",4,,,,,,,,
,,,,,,,,,,,,,,,SWIMM,"21,038",2,,,,,,,,
,,,,,,,,,,,,,,,San Fermin,"14,853",2,,,,,,,,
,,,,,,,,,,,,,,,Sanya Richards-Ross,"38,687",1,,,,,,,,
,,,,,,,,,,,,,,,Sego,"16,643",2,,,,,,,,
,,,,,,,,,,,,,,,Shakey Graves,"910,647",2,,,,,,,,
,,,,,,,,,,,,,,,Shallou,"93,272",1,,,,,,,,
,,,,,,,,,,,,,,,Shamir,"3,000",2,,,,,,,,
,,,,,,,,,,,,,,,Slow Club,"15,072",2,,,,,,,,
,,,,,,,,,,,,,,,Son Little,"7,114",2,,,,,,,,
,,,,,,,,,,,,,,,Sunflower Bean,"1,948",1,,,,,,,,
,,,,,,,,,,,,,,,Surfer Blood,"18,662",3,,,,,,,,
,,,,,,,,,,,,,,,Talib Kweli ft. ON AN ON,"6,689",2,,,,,,,,
,,,,,,,,,,,,,,,Tall Tall Trees,"55,143",2,,,,,,,,
,,,,,,,,,,,,,,,Team Spirit,"3,257",1,,,,,,,,
,,,,,,,,,,,,,,,Tei Shi,"81,295",2,,,,,,,,
,,,,,,,,,,,,,,,Teleman,"19,037",3,,,,,,,,
,,,,,,,,,,,,,,,Thao & The Get Down Stay Down,"61,209",2,,,,,,,,
,,,,,,,,,,,,,,,The Bad Marriage,"49,029",4,,,,,,,,
,,,,,,,,,,,,,,,The Districts,"50,091",2,,,,,,,,
,,,,,,,,,,,,,,,The Eastern Sea,"7,832",2,,,,,,,,
,,,,,,,,,,,,,,,The Orwells,"67,347",3,,,,,,,,
,,,,,,,,,,,,,,,The Relationship,"7,800",1,,,,,,,,
,,,,,,,,,,,,,,,The So So Glos,"18,080",2,,,,,,,,
,,,,,,,,,,,,,,,The Struts,"79,203",1,,,,,,,,
,,,,,,,,,,,,,,,Twin Peaks,"147,033",2,,,,,,,,
,,,,,,,,,,,,,,,Vacationer,"47,680",2,,,,,,,,
,,,,,,,,,,,,,,,Van William,"94,524",1,,,,,,,,
